Title,Artist,Artist2,Artist3
당신의 연인이 되고싶어,비챤,,
스물셋,비챤,,
Da Capo,비챤,,
메리 크리 (Merry-Chri),비챤,,
사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네 (Baby I need you),비챤,,
Fire Again,비챤,,
Butter,비챤,릴파,
사랑은 은하수 다방에서 (Love in the Milky Way Café),비챤,,
취기를 빌려 (Slightly Tipsy),비챤,,
포니 (phony),비챤,,
유령도쿄,비챤,,
에리카 (Erica),비챤,,
타마야 (TAMAYA),비챤,,
Lemon,비챤,,
금목서,비챤,,
사랑을 전하고 싶다던가,비챤,,
DAYBREAK FRONTLINE,비챤,,
텔레캐스터 비보이,비챤,,
사마,비챤,,
로키 (ROKI),비챤,,
달이 아름다워,주르르,,
Perfect Night,주르르,,
예뻤어,주르르,,
커플,주르르,,
화이트,주르르,,
Pretty Girl,주르르,,
너에게 닿기를,주르르,,
Darling(달링),주르르,,
귀여워서 미안해,주르르,,
미리 메리 크리스마스,주르르,비챤,징버거
어푸(Ah puh),주르르,,
풍선,이세계아이돌,,
LOVE DIVE,이세계아이돌,,
M@STERPIECE,주르르,,
SCIENTIST,주르르,아이네,
It's Beginning To Look A Lot Like Christmas,이세계아이돌,,
아이돌 (최애의 아이 OP),주르르,,
THIS IS ME,릴파,고멤,
Only One (온리원),릴파,,
U (millennium parade),릴파,,
LADY,릴파,,
Always with you,릴파,,
너로피어오라(Flowering),릴파,,
세계는 사랑에 빠져있어(世界は恋に落ちている),릴파,,
Never Enough (The Greatest Showman OST),릴파,,
Promise,릴파,,
불꽃 (炎),릴파,,
팬서비스(ファンサ),고세구,,
긍지높은 아이돌(Proud Idol),고세구,,
홍련화(紅蓮華),고세구,,
Bom(나만 봄),고세구,,
별이 되지 않아도 돼,고세구,,
참새(すずめ),고세구,,
튜링 러브,고세구,주르르,
Super Shy,고세구,,
신시대,고세구,,
자다깨니 야자수 (寝起きヤシの木),고세구,,
기타와 고독과 푸른 행성 (봇치더락 OST),고세구,,
ALWAYS,고세구,,
약속해요,고세구,,
잊어주지 않을거야 (봇치더락 OST),고세구,,
청춘 콤플렉스 (봇치더락 OST),고세구,,
좋아하니까 (好きだから),징버거,,
LOVE WAR,징버거,고단씨,
저곳으로 (인어공주 OST),징버거,,
봄도둑 春泥棒,징버거,,
강풍 올백 (強風オールバック),징버거,,
TOMBOY,징버거,고세구,
Let It Snow!,아이네,,
와스레모노 忘れ物,아이네,,
고멤가요제 MASHUP,아이네,,
신호등(Traffic light),아이네,,
「God knows...」,아이네,,
리와인드 (REWIND),이세계아이돌,,
겨울봄 (Winter Spring),이세계아이돌,,
LOCKDOWN (락다운),이세계아이돌,,
Another World (어나더 월드),이세계아이돌,,
KIDDING (키딩),이세계아이돌,,
Superhero (슈퍼히어로),이세계아이돌,,
OVER (오버),이세계아이돌,,
But You Want More,이세계아이돌,,
Kissing You(키싱유),이세계아이돌,,
내꺼야 (PICK ME),징버거,,
궁시렁 리믹스,징버거,,
아이돌(アイドル),고세구,,
Kissing You(키싱유) 아카펠라,이세계아이돌,,
